,GRAND AVE,2
001,STATE ST,71387
002,DR MARTIN,21219
003,DR MARTIN,26086
004,STONY ISLAND,16318
005,MICHIGAN AVE,21819
006,79TH ST,27057
007,ASHLAND AVE,22625
008,CICERO AVE,24806
009,ASHLAND AVE,15187
010,CERMAK RD,18214
011,MADISON ST,27562
012,MADISON ST,16252
014,MILWAUKEE AVE,23478
015,MADISON ST,20048
016,OHARE ST,20134
017,IRVING PARK,12118
018,MICHIGAN AVE,27023
019,CLARK ST,22895
020,SHERIDAN RD,12206
021,INDIANA AVE,4
022,HALSTED ST,16204
024,SHERIDAN RD,15127
025,NORTH AVE,31783
031,OHARE ST,60
16,HIGGINS RD,16
