"cod_universidad","des_universidad","anio","cod_capitulo","des_capitulo","cod_articulo","des_articulo","cod_concepto","des_concepto","cod_subconcepto","des_subconcepto","cod_partida","des_partida","cod_seccion","des_seccion","cod_servicio","des_servicio","cod_unidad_de_coste","des_unidad_de_coste","cod_organica_libre_1","des_organica_libre_1","cod_organica_libre_2","des_organica_libre_2","cod_grupo","des_grupo","cod_funcion","des_funcion","cod_subfuncion","des_subfuncion","cod_programa","des_programa","cod_subprograma","des_subprograma","fecha_referencia","credito_inicial","modificaciones","credito_total","gastos_comprometidos","obligaciones_reconocidas","pagos_netos"
"010","Universidad Complutense de Madrid","2015","1","Gastos de Personal","12","Personal Funcionario","120","Retribuciones Básicas","12000","Ret. Bas. Personal Docente Investigador","1200000","Ret. Bas. Personal Docente Investigador","01","VR ORD. ACADÉMICA","0107","SV. NÓM Y SS. PDI","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","1","Desarrollo de la Docencia y de la Investigación","10","Desarrollo de la Docencia y de la Investigación","100","Desarrollo de la Docencia y de la Investigación","1000","Desarrollo de la Docencia y de la Investigación","(no informado)","(no informado)","31122015","35623622,53","0","35623622,53","36172848,48","36172848,48","36172848,48"
"010","Universidad Complutense de Madrid","2015","1","Gastos de Personal","12","Personal Funcionario","120","Retribuciones Básicas","12002","Trienios Personal Docente Investigador","1200200","Trienios Personal Docente Investigador","01","VR ORD. ACADÉMICA","0107","SV. NÓM Y SS. PDI","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","1","Desarrollo de la Docencia y de la Investigación","10","Desarrollo de la Docencia y de la Investigación","100","Desarrollo de la Docencia y de la Investigación","1000","Desarrollo de la Docencia y de la Investigación","(no informado)","(no informado)","31122015","12815345,77","0","12815345,77","12573429,9","12573429,9","12573429,9"
"010","Universidad Complutense de Madrid","2015","1","Gastos de Personal","12","Personal Funcionario","120","Retribuciones Básicas","12006","Pagas Extraordinarias PDI Funcionario","1200600","Paga Extraordinaria PDI Funcionario","01","VR ORD. ACADÉMICA","0107","SV. NÓM Y SS. PDI","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","1","Desarrollo de la Docencia y de la Investigación","10","Desarrollo de la Docencia y de la Investigación","100","Desarrollo de la Docencia y de la Investigación","1000","Desarrollo de la Docencia y de la Investigación","(no informado)","(no informado)","31122015","11425190,36","0","11425190,36","13050366,14","13050366,14","13050366,14"
"010","Universidad Complutense de Madrid","2015","1","Gastos de Personal","12","Personal Funcionario","121","Retribuciones Complementarias","12100","Ret. Complem. Personal Docente Investigador Func.","1210000","Ret. Complem. Personal Docente Investigador Funcio","01","VR ORD. ACADÉMICA","0107","SV. NÓM Y SS. PDI","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","1","Desarrollo de la Docencia y de la Investigación","10","Desarrollo de la Docencia y de la Investigación","100","Desarrollo de la Docencia y de la Investigación","1000","Desarrollo de la Docencia y de la Investigación","(no informado)","(no informado)","31122015","49135785,34","4102377,55999999","53238162,9","50047275,03","50047275,03","50047275,03"
"010","Universidad Complutense de Madrid","2015","1","Gastos de Personal","12","Personal Funcionario","121","Retribuciones Complementarias","12102","Cargos Académicos","1210200","Cargos Académicos","01","VR ORD. ACADÉMICA","0107","SV. NÓM Y SS. PDI","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","1","Desarrollo de la Docencia y de la Investigación","10","Desarrollo de la Docencia y de la Investigación","100","Desarrollo de la Docencia y de la Investigación","1000","Desarrollo de la Docencia y de la Investigación","(no informado)","(no informado)","31122015","1978497,93","0","1978497,93","1943196,06","1943196,06","1943196,06"
"010","Universidad Complutense de Madrid","2015","1","Gastos de Personal","12","Personal Funcionario","121","Retribuciones Complementarias","12103","Evaluaciones Actividad Docente","1210300","Evaluaciones Actividad Docente","01","VR ORD. ACADÉMICA","0107","SV. NÓM Y SS. PDI","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","1","Desarrollo de la Docencia y de la Investigación","10","Desarrollo de la Docencia y de la Investigación","100","Desarrollo de la Docencia y de la Investigación","1000","Desarrollo de la Docencia y de la Investigación","(no informado)","(no informado)","31122015","17464550,34","0","17464550,34","17725918,4","17725918,4","17725918,4"
"010","Universidad Complutense de Madrid","2015","1","Gastos de Personal","12","Personal Funcionario","121","Retribuciones Complementarias","12104","Evaluaciones Actividad Investigadora","1210400","Evaluaciones Actividad Investigadora","01","VR ORD. ACADÉMICA","0107","SV. NÓM Y SS. PDI","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","1","Desarrollo de la Docencia y de la Investigación","10","Desarrollo de la Docencia y de la Investigación","100","Desarrollo de la Docencia y de la Investigación","1000","Desarrollo de la Docencia y de la Investigación","(no informado)","(no informado)","31122015","10138939,26","0","10138939,26","10067671,51","10067671,51","10067671,51"
"010","Universidad Complutense de Madrid","2015","1","Gastos de Personal","12","Personal Funcionario","121","Retribuciones Complementarias","12105","Comp. Docente PDI (Funcionario)","1210500","Comp. Docente PDI (Funcionario)","01","VR ORD. ACADÉMICA","0107","SV. NÓM Y SS. PDI","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","1","Desarrollo de la Docencia y de la Investigación","10","Desarrollo de la Docencia y de la Investigación","100","Desarrollo de la Docencia y de la Investigación","1000","Desarrollo de la Docencia y de la Investigación","(no informado)","(no informado)","31122015","9785936,62","0","9785936,62","9891238","9891238","9891238"
"010","Universidad Complutense de Madrid","2015","1","Gastos de Personal","12","Personal Funcionario","123","Asignación por Destino en el Extranjero","12300","Asignación por destino Extranjero","1230000","Asiganción por destino Extranjero","01","VR ORD. ACADÉMICA","0107","SV. NÓM Y SS. PDI","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","1","Desarrollo de la Docencia y de la Investigación","10","Desarrollo de la Docencia y de la Investigación","100","Desarrollo de la Docencia y de la Investigación","1000","Desarrollo de la Docencia y de la Investigación","(no informado)","(no informado)","31122015","10656,72","0","10656,72","10656,72","10656,72","10656,72"
"010","Universidad Complutense de Madrid","2015","1","Gastos de Personal","13","Personal de Laboral","130","Personal Laboral Fijo","13002","Ret. Básicas PDI Laboral Fijo","1300200","Ret. Basicas PDI Laboral Fijo","01","VR ORD. ACADÉMICA","0107","SV. NÓM Y SS. PDI","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","(no informado)","1","Desarrollo de la Docencia y de la Investigación","10","Desarrollo de la Docencia y de la Investigación","100","Desarrollo de la Docencia y de la Investigación","1000","Desarrollo de la Docencia y de la Investigación","(no informado)","(no informado)","31122015","20695366,19","0","20695366,19","21865490,16","21865490,16","21865490,16"
