CRIMINAL DAMAGE,2007-2012,268157
SEX OFFENSE,2007-2012,7616
BURGLARY,2007-2012,153730
CRIMINAL TRESPASS,2007-2012,63136
NARCOTICS,2007-2012,261994
GAMBLING,2007-2012,5986
ASSAULT,2007-2012,136470
OTHER OFFENSE,2007-2012,138738
ARSON,2007-2012,3467
CRIMINAL SEXUAL ASSAULT,2007-2012,320
HOMICIDE,2007-2012,2813
BATTERY,2007-2012,408977
PROSTITUTION,2007-2012,22280
DECEPTIVE PRACTICE,2007-2012,82057
MOTOR VEHICLE THEFT,2007-2012,107845
THEFT,2007-2012,481944
LIQUOR LAW VIOLATION,2007-2012,4757
ROBBERY,2007-2012,89877
OFFENSE INVOLVING CHILDREN,2007-2012,15605
CRIM SEXUAL ASSAULT,2007-2012,8599
INTERFERENCE WITH PUBLIC OFFICER,2007-2012,4902
PUBLIC PEACE VIOLATION,2007-2012,19115
KIDNAPPING,2007-2012,1796
WEAPONS VIOLATION,2007-2012,23081
STALKING,2007-2012,1148
INTIMIDATION,2007-2012,1272
OTHER NARCOTIC VIOLATION,2007-2012,48
RITUALISM,2007-2012,1
PUBLIC INDECENCY,2007-2012,56
OBSCENITY,2007-2012,146
NON-CRIMINAL (SUBJECT SPECIFIED),2007-2012,2
NON-CRIMINAL,2007-2012,8
HUMAN TRAFFICKING,2007-2012,1
