STATE ST,1261
MICHIGAN AVE,1236
CLARK ST,917
HALSTED ST,719
ASHLAND AVE,596
BROADWAY,530
WESTERN AVE,458
KEDZIE AVE,412
CICERO AVE,406
PULASKI RD,406
SHERIDAN RD,402
MILWAUKEE AVE,378
RANDOLPH ST,369
WABASH AVE,361
NORTH AVE,353
CHICAGO AVE,338
GRAND AVE,327
DR MARTIN,323
LAKE ST,309
MADISON ST,302
BELMONT AVE,301
LAKE SHORE,294
COTTAGE GROVE,289
ELSTON AVE,280
JACKSON BLVD,276
FULLERTON AVE,252
DIVISION ST,252
ROOSEVELT RD,247
CANAL ST,237
INDIANA AVE,235
IRVING PARK,229
WELLS ST,229
HUBBARD ST,226
DAMEN AVE,218
CENTRAL AVE,215
47TH ST,215
LINCOLN AVE,212
CALIFORNIA AVE,212
LA SALLE,211
PAULINA ST,209
CLYBOURN AVE,204
CERMAK RD,201
ADDISON ST,195
DEARBORN ST,192
TERMINAL ST,184
LAKE PARK,180
WASHINGTON BLVD,178
79TH ST,170
RACINE AVE,168
DIVERSEY AVE,166
PRAIRIE AVE,162
LAWRENCE AVE,157
HOWARD ST,152
ADAMS ST,152
95TH ST,151
MORGAN ST,151
MARSHFIELD AVE,151
ONTARIO ST,150
KENMORE AVE,150
HARRISON ST,149
ARCHER AVE,146
87TH ST,142
OHIO ST,136
WINTHROP AVE,136
63RD ST,134
MONROE ST,134
CAMPBELL AVE,133
WENTWORTH AVE,133
WOLCOTT AVE,132
MONTROSE AVE,132
STONY ISLAND,131
HERMITAGE AVE,129
GREEN ST,129
SPAULDING AVE,126
HURON ST,124
ROCKWELL ST,124
HOYNE AVE,123
PEORIA ST,123
FOSTER AVE,123
ARMITAGE AVE,121
SACRAMENTO AVE,120
FRANCISCO AVE,119
UNION AVE,118
LAFLIN ST,118
SANGAMON ST,115
26TH ST,114
WACKER DR,114
CALUMET AVE,113
WASHTENAW AVE,110
ELLIS AVE,109
DREXEL AVE,108
ILLINOIS ST,106
CENTRAL PARK,105
WOOD ST,105
OHARE ST,103
CARPENTER ST,103
KINGSBURY ST,102
RIDGE AVE,102
LEAVITT ST,102
WINCHESTER AVE,100
DOTY AVE,96
SAWYER AVE,95
SUPERIOR ST,95
SOUTH SHORE,94
KOSTNER AVE,94
ERIE ST,94
SHEFFIELD AVE,94
THROOP ST,92
MAY ST,91
ARTESIAN AVE,91
71ST ST,90
VERNON AVE,90
KIMBALL AVE,90
VAN BUREN,90
FAIRFIELD AVE,89
RHODES AVE,89
LAWNDALE AVE,89
AVERS AVE,89
MAPLEWOOD AVE,88
MOZART ST,88
COLUMBUS DR,88
RICHMOND ST,86
ST LOUIS,86
WILSON AVE,86
ALBANY AVE,85
GREENVIEW AVE,85
HAMLIN AVE,85
INGLESIDE AVE,84
COMMERCIAL AVE,84
TROY ST,83
BALMORAL AVE,83
KINZIE ST,83
ST LAWRENCE,82
CONGRESS PKWY,82
PRINCETON AVE,82
BLACKSTONE AVE,81
TAYLOR ST,80
DRAKE AVE,79
LOWE AVE,78
DIVERSEY PKWY,78
HARDING AVE,77
BARRY AVE,77
CORNELIA AVE,77
ABERDEEN ST,77
PETERSON AVE,77
LARRABEE ST,77
WOODLAWN AVE,76
WHIPPLE ST,76
EMERALD AVE,76
OAKLEY AVE,76
TALMAN AVE,75
SPRINGFIELD AVE,75
111TH ST,75
LANGLEY AVE,75
75TH ST,75
KARLOV AVE,75
FULTON MARKET,74
BISHOP ST,73
55TH ST,73
35TH ST,72
SOUTHPORT AVE,71
CHRISTIANA AVE,71
PARNELL AVE,71
DREXEL BLVD,71
STEWART AVE,70
BELL AVE,70
OGDEN AVE,70
VINCENNES AVE,70
ROSCOE ST,69
KEELER AVE,69
CHAMPLAIN AVE,69
103RD ST,69
33RD ST,69
HYDE PARK,69
MAGNOLIA AVE,68
HONORE ST,67
DORCHESTER AVE,66
JEFFERY BLVD,66
FRANKLIN ST,66
115TH ST,66
AUGUSTA BLVD,66
CLAREMONT AVE,66
MONTICELLO AVE,66
SEELEY AVE,66
WRIGHTWOOD AVE,65
NARRAGANSETT AVE,65
EAST END,64
DEVON AVE,64
RIDGEWAY AVE,64
ADA ST,63
32ND ST,63
CLINTON ST,63
59TH ST,62
JUSTINE ST,62
64TH ST,61
119TH ST,61
EBERHART AVE,61
KILBOURN AVE,61
WARREN BLVD,61
BELDEN AVE,61
KILDARE AVE,61
WAVELAND AVE,60
CORNELL AVE,60
KIMBARK AVE,59
GARFIELD BLVD,58
KENWOOD AVE,58
EVANS AVE,58
TRIPP AVE,57
KEDVALE AVE,57
WELLINGTON AVE,56
WEBSTER AVE,56
JEFFERSON ST,56
FULTON ST,56
GREENWOOD AVE,56
LARAMIE AVE,56
HOMAN AVE,55
FREMONT ST,55
MARINE DR,55
GRACE ST,55
MARYLAND AVE,54
RUSH ST,54
MENARD AVE,53
OAKDALE AVE,53
MASON AVE,53
21ST ST,53
BLUE ISLAND,53
LEXINGTON ST,52
PERSHING RD,52
MERRILL AVE,51
NORMAL AVE,51
NORMANDY AVE,51
KENNETH AVE,51
PARKSIDE AVE,51
ELIZABETH ST,51
MARQUETTE RD,51
POLK ST,51
53RD ST,51
76TH ST,50
LOOMIS ST,50
LAVERGNE AVE,50
OAKLEY BLVD,50
WALTON ST,50
HARPER AVE,50
HARLEM AVE,50
80TH ST,49
83RD ST,49
KINGSTON AVE,48
ARGYLE ST,48
69TH ST,48
PRATT BLVD,48
MONTROSE DR,47
PHILLIPS AVE,47
WASHINGTON ST,47
MONITOR AVE,47
MELROSE ST,47
LELAND AVE,46
YALE AVE,46
106TH ST,46
YATES BLVD,46
BRYN MAWR,46
SCHOOL ST,45
72ND ST,45
81ST ST,45
THOMAS ST,45
RECREATION DR,45
GLENWOOD AVE,45
CULLERTON ST,45
LECLAIRE AVE,44
DICKENS AVE,44
PERRY AVE,44
HARVARD AVE,44
WALLACE ST,44
KILPATRICK AVE,44
FLOURNOY ST,44
COLFAX AVE,44
GRANVILLE AVE,44
SOUTH CHICAGO,44
CRYSTAL ST,44
CRANDON AVE,43
LAFAYETTE AVE,43
BERTEAU AVE,43
CORTEZ ST,43
PINE GROVE,43
MORSE AVE,43
KEATING AVE,42
BELLE PLAINE,42
61ST ST,41
ESSEX AVE,41
OGLESBY AVE,41
73RD ST,41
LONG AVE,41
HADDON AVE,41
DELANO CT,41
ELM ST,41
UNIVERSITY AVE,41
ARTHINGTON ST,41
19TH ST,40
50TH ST,40
60TH ST,40
CLYDE AVE,40
PAXTON AVE,39
LOCKWOOD AVE,39
LOOMIS BLVD,39
18TH ST,39
TOUHY AVE,39
SUNNYSIDE AVE,38
SIMONDS DR,38
31ST ST,38
EXCHANGE AVE,38
AINSLIE ST,38
MAYPOLE AVE,38
BERWYN AVE,38
CULLOM AVE,38
ESCANABA AVE,38
SACRAMENTO BLVD,37
WAYNE AVE,37
70TH ST,37
77TH ST,37
AUSTIN AVE,37
HIGGINS AVE,36
DESPLAINES ST,36
BOSWORTH AVE,36
65TH ST,36
BYRON ST,36
COLES AVE,36
KOLIN AVE,36
POTOMAC AVE,36
FARWELL AVE,36
BENNETT AVE,35
KEYSTONE AVE,35
MELVINA AVE,35
ORLEANS ST,35
BERNARD ST,35
EVERGREEN AVE,35
67TH ST,35
LAKEWOOD AVE,35
EASTWOOD AVE,35
RAVENSWOOD AVE,34
LUNT AVE,34
DOUGLAS BLVD,34
78TH ST,34
82ND ST,34
EUCLID AVE,34
LAWLER AVE,34
CORTLAND ST,34
LE MOYNE,33
ALTGELD ST,33
JARVIS AVE,33
MAYFIELD AVE,33
RIDGELAND AVE,33
ESTES AVE,33
WABANSIA AVE,33
CHESTNUT ST,33
FARGO AVE,33
DAKIN ST,33
GLADYS AVE,33
ST CLAIR,33
WINONA ST,32
DAYTON ST,32
MEADE AVE,32
BURLEY AVE,32
HAMILTON AVE,32
SHERWIN AVE,32
PRYOR AVE,32
ARTHUR AVE,32
CLEVELAND AVE,32
GEORGE ST,31
51ST ST,31
MOBILE AVE,31
CATALPA AVE,31
TRUMBULL AVE,31
MC VICKER,31
BURLING ST,31
NEWPORT AVE,31
SEMINARY AVE,30
FOREST AVE,30
GRENSHAW ST,30
CHAPPEL AVE,30
SEDGWICK ST,30
HENDERSON ST,30
EGGLESTON AVE,30
21ST PL,30
GREENLEAF AVE,30
CARMEN AVE,29
OAK ST,29
16TH ST,29
FEDERAL ST,29
LAMON AVE,29
CUMBERLAND AVE,29
CARROLL AVE,29
IOWA ST,29
HUDSON AVE,28
64TH PL,28
NEVA AVE,28
STOCKTON DR,28
HIRSCH ST,28
MC CLURG,28
PATTERSON AVE,28
EWING AVE,28
WEST END,27
LOREL AVE,27
57TH ST,27
LOWELL AVE,27
WALLER AVE,27
MANGO AVE,27
SCHUBERT AVE,27
WINNEMAC AVE,27
68TH ST,26
ORCHARD ST,26
AVENUE O,26
50TH PL,26
MEDILL AVE,26
FLETCHER ST,26
WESTERN BLVD,26
56TH ST,26
62ND ST,26
44TH ST,26
PALMER ST,26
STATE PKWY,26
KOLMAR AVE,25
MARQUETTE AVE,25
23RD ST,25
CANNON DR,25
SHAKESPEARE AVE,25
NATCHEZ AVE,25
SAYRE AVE,25
NORDICA AVE,25
MAJOR AVE,24
HOLLAND RD,24
DEMING PL,24
NEWCASTLE AVE,24
ARLINGTON PL,24
NATOMA AVE,24
18TH PL,24
SURF ST,24
FILLMORE ST,24
RACE AVE,24
INDEPENDENCE BLVD,24
93RD ST,24
LINDER AVE,24
AVENUE L,24
15TH ST,24
NAGLE AVE,24
BIRCHWOOD AVE,24
SAGINAW AVE,23
PLYMOUTH CT,23
EDDY ST,23
EDBROOKE AVE,23
107TH ST,23
NORTH SHORE,23
LOTUS AVE,23
54TH ST,23
WOLFRAM ST,23
NOBLE ST,23
WALNUT ST,23
KNOX AVE,23
CONSTANCE AVE,23
RICE ST,22
BEACH AVE,22
SCHILLER ST,22
74TH ST,22
46TH ST,22
CLARENDON AVE,22
NEW ENGLAND,22
AVENUE G,22
LYNDALE ST,22
MOODY AVE,22
TORRENCE AVE,22
MILLARD AVE,22
91ST ST,22
MUSKEGON AVE,21
PIERCE AVE,21
WEED ST,21
90TH ST,21
DANTE AVE,21
43RD ST,21
MERRIMAC AVE,21
MARMORA AVE,21
MANISTEE AVE,21
ST PAUL,21
BUFFALO AVE,21
DELAWARE PL,21
104TH ST,21
KOMENSKY AVE,21
58TH ST,20
LEAMINGTON AVE,20
PENSACOLA AVE,20
CREGIER AVE,20
AUSTIN BLVD,20
LOGAN BLVD,20
LUNA AVE,20
17TH ST,20
NEWLAND AVE,19
85TH ST,19
OAK PARK,19
RIDGE BLVD,19
NORTHWEST HWY,19
BRIAR PL,19
41ST ST,19
38TH PL,19
FINANCIAL PL,19
MC LEAN,19
HOUSTON AVE,19
40TH ST,19
LAPORTE AVE,19
CHASE AVE,19
BLOOMINGDALE AVE,19
48TH ST,18
EASTMAN ST,18
BISSELL ST,18
AGATITE AVE,18
CLIFTON AVE,18
SHIELDS AVE,18
DOBSON AVE,18
ARDMORE AVE,18
MONTANA ST,18
MASSASOIT AVE,18
PINE AVE,18
66TH ST,18
ALDINE AVE,18
ALBION AVE,18
LA CROSSE,17
FARRAGUT AVE,17
ROGERS AVE,17
FITCH AVE,17
FRANKLIN BLVD,17
MOHAWK ST,17
13TH ST,17
NOTTINGHAM AVE,17
RUTHERFORD AVE,17
14TH ST,17
NASHVILLE AVE,17
BERENICE AVE,16
LINCOLN PARK,16
LUELLA AVE,16
LATROBE AVE,16
52ND ST,16
38TH ST,16
25TH ST,16
34TH ST,16
EAST RIVER,16
23RD PL,16
45TH ST,16
42ND ST,16
MULLIGAN AVE,16
BRANDON AVE,15
GUNNISON ST,15
14TH PL,15
HIGGINS RD,15
MALDEN ST,15
