BATTERY,2019,49517
NARCOTICS,2003,54288
BATTERY,2004,87136
OTHER OFFENSE,2003,31148
CRIMINAL DAMAGE,2013,30855
ARSON,2013,364
DECEPTIVE PRACTICE,2002,13732
CRIMINAL SEXUAL ASSAULT,2020,1168
SEX OFFENSE,2017,1063
BURGLARY,2020,8758
ASSAULT,2009,22861
CRIMINAL SEXUAL ASSAULT,2003,41
ARSON,2007,712
HOMICIDE,2019,508
OBSCENITY,2020,57
HOMICIDE,2018,601
OFFENSE INVOLVING CHILDREN,2006,2782
PUBLIC PEACE VIOLATION,2022,711
STALKING,2014,142
KIDNAPPING,2002,829
HOMICIDE,2020,796
THEFT,2004,95464
OTHER OFFENSE,2022,14569
CRIMINAL SEXUAL ASSAULT,2018,326
MOTOR VEHICLE THEFT,2021,10603
ASSAULT,2019,20620
BATTERY,2008,75930
ASSAULT,2013,17972
SEX OFFENSE,2021,1097
STALKING,2022,447
CRIM SEXUAL ASSAULT,2001,1778
THEFT,2022,54840
THEFT,2019,62492
DECEPTIVE PRACTICE,2016,19351
SEX OFFENSE,2009,1265
CRIM SEXUAL ASSAULT,2016,1497
CRIMINAL TRESPASS,2017,6814
MOTOR VEHICLE THEFT,2009,15482
ASSAULT,2017,19306
NARCOTICS,2021,5337
HOMICIDE,2016,790
OTHER OFFENSE,2014,17019
HUMAN TRAFFICKING,2022,17
INTERFERENCE WITH PUBLIC OFFICER,2002,361
OFFENSE INVOLVING CHILDREN,2020,1998
SEX OFFENSE,2023,1099
GAMBLING,2009,991
INTIMIDATION,2020,163
PROSTITUTION,2023,197
LIQUOR LAW VIOLATION,2008,912
MOTOR VEHICLE THEFT,2011,19388
BATTERY,2018,49830
BURGLARY,2014,14569
ASSAULT,2008,25448
PROSTITUTION,2002,6408
KIDNAPPING,2016,202
NARCOTICS,2009,43542
CRIM SEXUAL ASSAULT,2015,1352
DECEPTIVE PRACTICE,2022,16507
BATTERY,2021,40463
CRIMINAL SEXUAL ASSAULT,2004,44
CRIMINAL DAMAGE,2002,55941
OBSCENITY,2002,26
OTHER OFFENSE,2019,16798
CRIMINAL DAMAGE,2022,27242
ASSAULT,2004,28850
OFFENSE INVOLVING CHILDREN,2002,2593
OFFENSE INVOLVING CHILDREN,2009,2632
DOMESTIC VIOLENCE,2001,1
NARCOTICS,2017,11683
LIQUOR LAW VIOLATION,2023,149
THEFT,2008,88437
NARCOTICS,2019,15077
OTHER OFFENSE,2018,17264
CRIMINAL TRESPASS,2018,6909
WEAPONS VIOLATION,2022,8775
ROBBERY,2015,9638
SEX OFFENSE,2001,2239
NARCOTICS,2014,29118
CRIMINAL TRESPASS,2022,4224
OFFENSE INVOLVING CHILDREN,2023,1434
ARSON,2002,1032
PUBLIC PEACE VIOLATION,2018,1372
SEX OFFENSE,2015,1046
CRIMINAL SEXUAL ASSAULT,2001,32
CRIMINAL DAMAGE,2011,37331
OFFENSE INVOLVING CHILDREN,2022,1867
THEFT,2013,71535
PROSTITUTION,2009,3940
INTIMIDATION,2001,279
PUBLIC PEACE VIOLATION,2023,704
CRIM SEXUAL ASSAULT,2013,1271
CRIMINAL TRESPASS,2003,14807
CRIMINAL TRESPASS,2011,8659
CRIMINAL DAMAGE,2001,55860
ASSAULT,2001,31384
THEFT,2017,64386
BURGLARY,2004,24564
CRIM SEXUAL ASSAULT,2007,1507
CRIMINAL SEXUAL ASSAULT,2006,47
OFFENSE INVOLVING CHILDREN,2011,2430
PUBLIC PEACE VIOLATION,2002,2457
OTHER OFFENSE,2023,12462
DECEPTIVE PRACTICE,2021,17486
CRIMINAL SEXUAL ASSAULT,2008,48
BURGLARY,2018,11747
ROBBERY,2021,7918
CRIM SEXUAL ASSAULT,2018,1398
BURGLARY,2006,24324
ROBBERY,2005,16047
MOTOR VEHICLE THEFT,2022,21447
BURGLARY,2015,13184
ARSON,2016,516
DECEPTIVE PRACTICE,2007,14174
HOMICIDE,2014,429
NARCOTICS,2007,54454
CRIMINAL DAMAGE,2014,27799
HOMICIDE,2012,515
THEFT,2021,40802
NARCOTICS,2001,50567
OTHER OFFENSE,2011,20206
THEFT,2007,85156
BURGLARY,2010,26422
SEX OFFENSE,2004,1805
BATTERY,2023,35950
NARCOTICS,2022,4731
MOTOR VEHICLE THEFT,2019,8977
NARCOTICS,2006,55813
KIDNAPPING,2006,339
PUBLIC INDECENCY,2002,8
DECEPTIVE PRACTICE,2018,19845
ROBBERY,2008,16703
BURGLARY,2009,26767
INTIMIDATION,2023,204
OTHER OFFENSE,2012,17524
CRIMINAL SEXUAL ASSAULT,2013,75
WEAPONS VIOLATION,2002,4281
THEFT,2011,75153
NARCOTICS,2005,56234
ASSAULT,2003,29477
DECEPTIVE PRACTICE,2005,13591
HOMICIDE,2003,604
CRIMINAL SEXUAL ASSAULT,2019,751
BATTERY,2016,50300
CRIMINAL SEXUAL ASSAULT,2023,1298
BURGLARY,2016,14289
STALKING,2017,192
CONCEALED CARRY LICENSE VIOLATION,2023,165
BURGLARY,2007,24858
HOMICIDE,2008,513
INTIMIDATION,2002,337
ROBBERY,2001,18441
STALKING,2021,370
NARCOTICS,2016,13333
PUBLIC PEACE VIOLATION,2020,1271
CRIMINAL TRESPASS,2015,6401
HOMICIDE,2002,658
