CRIMINAL DAMAGE,2019-2023,128240
HUMAN TRAFFICKING,2019-2023,54
OBSCENITY,2019-2023,245
BURGLARY,2019-2023,38581
THEFT,2019-2023,244979
KIDNAPPING,2019-2023,617
INTERFERENCE WITH PUBLIC OFFICER,2019-2023,3382
PROSTITUTION,2019-2023,1533
SEX OFFENSE,2019-2023,5747
ROBBERY,2019-2023,41419
BATTERY,2019-2023,208366
CONCEALED CARRY LICENSE VIOLATION,2019-2023,880
CRIMINAL TRESPASS,2019-2023,22401
DECEPTIVE PRACTICE,2019-2023,84371
OTHER OFFENSE,2019-2023,70368
CRIMINAL SEXUAL ASSAULT,2019-2023,6280
HOMICIDE,2019-2023,3350
ARSON,2019-2023,2322
NARCOTICS,2019-2023,36681
INTIMIDATION,2019-2023,837
MOTOR VEHICLE THEFT,2019-2023,74927
ASSAULT,2019-2023,98382
LIQUOR LAW VIOLATION,2019-2023,911
GAMBLING,2019-2023,202
PUBLIC PEACE VIOLATION,2019-2023,4809
WEAPONS VIOLATION,2019-2023,39743
OFFENSE INVOLVING CHILDREN,2019-2023,9658
STALKING,2019-2023,1660
CRIM SEXUAL ASSAULT,2019-2023,983
NON-CRIMINAL,2019-2023,16
RITUALISM,2019-2023,1
PUBLIC INDECENCY,2019-2023,32
OTHER NARCOTIC VIOLATION,2019-2023,25
